DeSPAC Ticker,DeSPAC Company,SPAC Ticker/Name,Pre-Merger Name,Compl. Date,Comm. Rtrn %,Ann. Return %,Comm. Price,Comm. % Chg,Mkt. Cap,Warr. Status,Warr. Price,IPO Date,IPO Size (M),Target Focus,Prom. Leaders,Underwriters,Clos. PR Link,SEC Filings,Post-Close S-1 File Date,S-1 Effective Date,Warr. Ex. Date,Warr. Ex D.L.
AVPT,"AvePoint, Inc.",APXT Apex Technology Acquisition Corp,,7/1/2021,-45.00%,-18.20%,$5.50 ,2.60%,"$997,810,820 ",Warrants Trading,$0.93 ,9/17/2019,$350.00 ,"Tech, Software, Internet",Jeff Epstein (Former CEO of Oracle),Cantor,Clos. PR Link,SEC Filings,7/23/2021,8/10/2021,8/1/2021,
PNT,POINT Biopharma Global Inc.,RACA Therapeutics Acquisition Corp (d/b/a Research Alliance Corp),,6/30/2021,-42.50%,-25.50%,$5.75 ,-1.70%,"$518,200,316 ",,,7/8/2020,$135.70 ,Healthcare,,Jefferies,Clos. PR Link,SEC Filings,7/30/2021,8/6/2021,7/30/2021,
ENSC,"Ensysce Biosciences, Inc.",LACQ Leisure Acquisition Corp,,6/30/2021,-89.30%,-20.90%,$1.07 ,8.70%,"$26,074,970 ",Warrants Trading,$0.12 ,12/1/2017,$200.00 ,"Gaming, Recreation, Travel, Lodging",,"Morgan Stanley, EarlyBirdCapital, Inc.",Clos. PR Link,SEC Filings,8/9/2021,9/24/2021,7/30/2021,
TBLA,Taboola,IACA ION Acquisition Corp 1 Ltd.,,6/30/2021,-45.10%,-31.40%,$5.49 ,0.70%,"$1,157,793,533 ",Warrants Trading,$0.94 ,10/1/2020,$258.80 ,"Israel, Tech","Jonathan Kolber (Fmr CEO, Koor Industrie...",Cowen,Clos. PR Link,SEC Filings,7/13/2021,9/3/2021,10/1/2021,
ASTR,"Astra Space, Inc.",HOL Holicity Inc.,,6/30/2021,-62.30%,-39.10%,$3.77 ,3.90%,"$761,826,795 ",,,8/5/2020,$300.00 ,"Tech, Media, Telecom","Craig McCaw (Founder, McCaw Cellular and...","Deutsche Bank, BofA Securities",Clos. PR Link,SEC Filings,7/15/2021,8/13/2021,,12/27/2021
IS,ironSource,TBA Thoma Bravo Advantage,,6/28/2021,-48.90%,-42.60%,$5.11 ,4.50%,"$523,264,000 ",,,1/14/2021,"$1,000.00 ","Software, Tech","Orlando Bravo (Founder, Thoma Bravo), Le...","Citigroup, Deutsche Bank, Goldman Sachs",Clos. PR Link,SEC Filings,7/28/2021,8/11/2021,1/14/2022,
PAYO,Payoneer Inc.,FTOC FTAC Olympus Acquisition,,6/28/2021,-56.60%,-36.80%,$4.34 ,2.40%,"$1,483,560,871 ",Warrants Trading,$1.33 ,8/25/2020,$754.70 ,"Tech, Fintech",Betsy Cohen (Founder/Fmr CEO Bancorp; Di...,"Citigroup, Cantor",Clos. PR Link,SEC Filings,7/20/2021,8/9/2021,8/25/2021,
ELMS,"Electric Last Mile, Inc.",FIII Forum Merger III Corporation,,6/25/2021,-80.20%,-51.50%,$1.98 ,-2.00%,"$245,573,484 ",Warrants Trading,$0.29 ,8/18/2020,$250.00 ,,Marshall Kiev and David Boris (Forum I &...,Jefferies,Clos. PR Link,SEC Filings,7/23/2021,8/9/2021,8/18/2021,
BODY,"The Beachbody Company, Inc.",FRX Forest Road Acquisition Corp.,The Beachbody Company Group and Myx Fitness,6/25/2021,-79.60%,-61.80%,$2.04 ,5.70%,"$344,753,399 ",Warrants Trading,$0.26 ,11/24/2020,$300.00 ,"TMT (Tech, Media, Telecom)","Keith Horn (Former COO, Elliott Manageme...",Cantor,Clos. PR Link,SEC Filings,7/23/2021,8/9/2021,11/24/2021,
ORGN,"Origin Materials, Inc.",AACQ Artius Acquisition,,6/25/2021,-38.90%,-23.50%,$6.11 ,10.30%,"$863,352,587 ",Warrants Trading,$1.32 ,7/14/2020,$724.50 ,Tech,"Charles Drucker (Former CEO, WorldPay)","Credit Suisse, Goldman Sachs",Clos. PR Link,SEC Filings,7/15/2021,8/2/2021,7/25/2021,
PWP,Perella Weinberg Partners,FTIV FinTech Acquisition Corp. IV,,6/24/2021,,,$10.00 ,2.90%,"$426,490,410 ",Warrants Trading,$2.30 ,9/24/2020,$230.00 ,"Fintech, Healthcare","Betsy Cohen (Founder/Fmr CEO Bancorp), D...",Cantor,Clos. PR Link,SEC Filings,7/15/2021,7/27/2021,9/24/2021,
TALK,"Talkspace, Inc.",HEC Hudson Executive Investment,,6/22/2021,-84.10%,-48.10%,$1.59 ,3.90%,"$244,818,549 ",Warrants Trading,$0.20 ,6/9/2020,$414.00 ,"Fintech, Healthcare",,"Citigroup, JP Morgan",Clos. PR Link,SEC Filings,7/2/2021,7/12/2021,7/22/2021,
MYPS,"PLAYSTUDIOS, Inc.",ACAC Acies Acquisition Corp.,,6/21/2021,-59.40%,-43.10%,$4.06 ,4.90%,"$447,712,700 ",Warrants Trading,$0.58 ,10/22/2020,$215.30 ,"Live events, Entertainment, Gaming, Hosp...","James Murren (Fmr CEO, MGM International...","Morgan Stanley, Oppenheimer, JP Morgan",Clos. PR Link,SEC Filings,7/19/2021,8/2/2021,10/22/2021,
LVOX,"LiveVox Holdings, Inc.",CRSA Crescent Acquisition Corp,,6/18/2021,-57.60%,-19.20%,$4.24 ,-0.20%,"$416,540,682 ",Warrants Trading,$0.50 ,3/8/2019,$250.00 ,,,"Credit Suisse, BofA Merrill Lynch",Clos. PR Link,SEC Filings,7/16/2021,8/2/2021,7/18/2021,
ATIP,"ATI Physical Therapy, Inc.",FAII Fortress Value Acquisition Corp. II,,6/17/2021,-82.00%,-52.10%,$1.80 ,0.60%,"$355,057,931 ",Warrants Trading,$0.28 ,8/12/2020,$345.00 ,,"SoftBank, Rakefet Russak-Aminoach (Forme...","Deutsche Bank Securities, Morgan Stanley...",Clos. PR Link,SEC Filings,7/9/2021,7/30/2021,8/12/2021,
ME,23andMe Holding Co.,VGAC VG Acquisition Corp,"23andMe, Inc.",6/16/2021,-55.70%,-38.80%,$4.43 ,5.00%,"$935,463,617 ",,,10/1/2020,$508.60 ,,"Sir Richard Branson, Josh Bayliss (CEO, ...",Credit Suisse,Clos. PR Link,SEC Filings,7/8/2021,7/15/2021,,12/22/2021
MAPS,"WM Technology, Inc.",SSPK Silver Spike Acquisition Corp,"WM Holding Company, LLC",6/16/2021,-42.20%,-16.30%,$5.78 ,5.10%,"$406,906,607 ",Warrants Trading,$1.20 ,8/7/2019,$250.00 ,Cannabis,,"Credit Suisse, I-Bankers",Clos. PR Link,SEC Filings,7/8/2021,7/21/2021,7/16/2021,
PTRA,Proterra Inc,ACTC ArcLight Clean Transition Corp,,6/15/2021,-25.30%,-17.30%,$7.47 ,1.60%,"$1,630,753,133 ",,,9/22/2020,$277.50 ,"Sustainable Energy, Renewable Resources","Daniel Revers (Founder, ArcLight Capital...","Citigroup, Barclays",Clos. PR Link,SEC Filings,6/29/2021,7/12/2021,,10/29/2021
SKIL,Skillsoft Corp.,CCX Churchill Capital Corp II,,6/11/2021,-38.40%,-14.20%,$6.16 ,4.60%,"$820,293,480 ",Warrants Trading,$1.19 ,6/26/2019,$690.00 ,,Michael Klein (Former Co-CEO of Citigrou...,"Citigroup, B. Riley FBR",Clos. PR Link,SEC Filings,7/6/2021,8/3/2021,7/11/2021,
INDI,indie Semiconductor,THBR Thunder Bridge Acquisition II,,6/10/2021,-24.20%,-9.40%,$7.58 ,1.20%,"$774,929,907 ",Warrants Trading,$2.06 ,8/8/2019,$345.00 ,"Fintech, Financial Services","Peter Kight (Founder, CheckFree (acquire...","Morgan Stanley, Cantor",Clos. PR Link,SEC Filings,7/2/2021,7/14/2021,7/10/2021,
QSI,Quantum-Si Incorporated,CAPA HighCape Capital Acquisition Corp.,,6/10/2021,-55.10%,-36.40%,$4.49 ,11.70%,"$533,089,349 ",Warrants Trading,$0.89 ,9/3/2020,$115.00 ,"Life Sciences, Healthcare","Kevin Rakin (Partner High Cape Capital, ...",Cantor,Clos. PR Link,SEC Filings,7/2/2021,7/22/2021,9/3/2021,
UPH,"UpHealth Holdings, Inc.","GIX GigCapital2, Inc",,6/9/2021,-78.90%,-28.60%,$2.11 ,2.40%,"$304,368,245 ",Warrants Trading,$0.28 ,6/6/2019,$172.50 ,"TMT (Tech, Media, Telecom)",Avi Katz (Fmr CEO of Gig Optix),"EarlyBirdCapital, Northland",Clos. PR Link,SEC Filings,2/16/2021,6/28/2021,7/9/2021,
KPLT,"Katapult Holdings, Inc.",FSRV FinServ Acquisition Corp,,6/9/2021,-79.90%,-34.00%,$2.01 ,6.90%,"$195,919,466 ",Warrants Trading,$0.28 ,11/1/2019,$250.00 ,"Fintech, Financial Services",,"Barclays, Cantor",Clos. PR Link,SEC Filings,6/30/2021,9/10/2021,7/9/2021,
NAUT,"Nautilus Biotechnology, Inc.",ARYA ARYA Sciences Acquisition Corp III,,6/9/2021,-61.10%,-38.50%,$3.89 ,1.00%,"$484,016,840 ",,,8/6/2020,$149.50 ,Healthcare,Perceptive Advisors,"Jefferies, Goldman Sachs",Clos. PR Link,SEC Filings,7/22/2021,8/9/2021,8/6/2021,
CMAX,"CareMax, Inc.",DFHT Deerfield Healthcare Technology Acquisitions,"CareMax Medical Group, L.L.C. and IMC Medical Group Holdings LLC",6/8/2021,-27.40%,-16.70%,$7.26 ,21.00%,"$632,157,131 ",Warrants Trading,$0.99 ,7/17/2020,$143.80 ,Healthcare,,"Deutsche Bank, UBS",Clos. PR Link,SEC Filings,6/30/2021,7/15/2021,7/17/2021,
LTCH,"Latch, Inc.",TSIA TS Innovation Acquisitions Corp.,,6/7/2021,-63.10%,-47.50%,$3.69 ,1.10%,"$526,847,207 ",Warrants Trading,$0.65 ,11/9/2020,$300.00 ,"Real Estate, Proptech","Robert Speyer (CEO, Tishman Speyer)","BofA Securities, Allen & Company",Clos. PR Link,SEC Filings,6/25/2021,7/12/2021,11/9/2021,
JBI,"Janus International Group, Inc.",JIH Juniper Industrial Holdings Inc,,6/7/2021,-4.90%,-2.10%,$9.51 ,-0.60%,"$1,393,801,929 ",,,11/8/2019,$345.00 ,Industrials,,UBS,Clos. PR Link,SEC Filings,7/7/2021,8/9/2021,7/7/2021,11/12/2021
CANO,"Cano Health, Inc.",JWS Jaws Acquisition Corp,,6/3/2021,-34.70%,-19.10%,$6.53 ,43.20%,"$1,178,083,680 ",Warrants Trading,$1.55 ,5/14/2020,$690.00 ,,Barry Sternlicht (Chairman and CEO of St...,"Credit Suisse, Morgan Stanley",Clos. PR Link,SEC Filings,6/25/2021,7/22/2021,7/3/2021,
BARK,The Original BARK Company,STIC Northern Star Acquisition Corp.,"Barkbox, Inc.",6/1/2021,-69.10%,-52.10%,$3.09 ,5.80%,"$536,396,786 ",Warrants Trading,$0.47 ,11/10/2020,$254.40 ,"Beauty, wellness, self-care, fashion, e-...",Jonathan Ledecky (Co-owner New York Isla...,Citigroup,Clos. PR Link,SEC Filings,6/23/2021,7/2/2021,11/10/2021,
SOFI,"SoFi Technologies, Inc.",IPOE Social Capital Hedosophia Holdings Corp. V,"Social Finance, Inc.",5/28/2021,-1.30%,-0.90%,$9.87 ,1.50%,"$8,178,198,993 ",,,10/8/2020,$805.00 ,Tech,"Chamath Palihapitiya (Managing Partner, ...",Credit Suisse,Clos. PR Link,SEC Filings,6/14/2021,6/24/2021,10/8/2021,12/6/2021
NRXP,"NRx Pharmaceuticals, Inc.",BRPA Big Rock Partners Acquisition Corp,"NeuroRx, Inc.",5/25/2021,-67.00%,-15.60%,$3.30 ,26.40%,"$194,074,115 ",Warrants Trading,$1.27 ,11/20/2017,$60.00 ,Senior Housing,,EarlyBirdCapital,Clos. PR Link,SEC Filings,6/25/2021,7/9/2021,6/25/2021,
OWL,Blue Owl Capital Inc.,ATAC Altimar Acquisition Corp,,5/20/2021,22.40%,16.30%,$12.24 ,7.50%,"$4,956,213,591 ",Warrants Trading,$3.18 ,10/22/2020,$275.00 ,,"Tom Wasserman (Managing Director, HPS In...",Goldman Sachs,Clos. PR Link,SEC Filings,6/21/2021,8/2/2021,10/22/2021,
BLDE,"Blade Air Mobility, Inc.",EXPC Experience Investment Corp,"BLADE Urban Air Mobility, Inc.",5/7/2021,-28.30%,-11.40%,$7.17 ,2.40%,"$506,724,951 ",Warrants Trading,$1.51 ,9/13/2019,$275.00 ,Travel and Leisure,,"Deutsche Bank, Citigroup",Clos. PR Link,SEC Filings,5/28/2021,6/7/2021,6/7/2021,
LEV,Lion Electric,NGA Northern Genesis Acquisition Corp.,,5/6/2021,-19.80%,-12.70%,$8.02 ,2.70%,"$1,523,821,750 ",Warrants Trading,$2.12 ,8/17/2020,$319.50 ,"Sustainability, Societal Infrastructure",,"Raymond James, EarlyBirdCapital",Clos. PR Link,SEC Filings,5/28/2021,6/14/2021,8/17/2021,
ZEV,"Lightning eMotors, Inc.",GIK GigCapital3 Inc,,5/6/2021,-44.50%,-24.50%,$5.55 ,0.50%,"$416,004,274 ",Warrants Trading,$1.01 ,5/14/2020,$202.00 ,"TMT (Tech, Media, Telecom)",Avi Katz (Fmr CEO of Gig Optix),"Nomura, Oppenheimer",Clos. PR Link,SEC Filings,6/21/2021,7/6/2021,6/6/2021,
SKIN,The Beauty Health Company,VSPR Vesper Healthcare Acquisition Corp.,The HydraFacial Company,5/5/2021,82.90%,57.50%,$18.29 ,3.60%,"$2,754,438,280 ",,,9/29/2020,$460.00 ,"Pharmaceuticals, Healthcare","Brenton Saunders (Fmr CEO, Allergan; Fmr...","Goldman Sachs, JP Morgan",Clos. PR Link,SEC Filings,7/19/2021,7/27/2021,,11/3/2021
STEM,"Stem, Inc.",STPK Star Peak Energy Transition Corp,,4/28/2021,-10.30%,-6.60%,$8.97 ,2.50%,"$1,376,390,491 ",,,8/17/2020,$384.30 ,"Renewable Energy, Energy Transition Infr...","Michael C. Morgan (Lead Director, Kinder...","Credit Suisse, Goldman Sachs",Clos. PR Link,SEC Filings,5/26/2021,6/14/2021,,9/20/2021
GENI,Genius Sports Limited,"DMYD dMY Technology Group, Inc. II",,4/20/2021,-50.40%,-32.10%,$4.96 ,7.80%,"$987,596,214 ",Warrants Trading,$1.11 ,8/13/2020,$276.00 ,"Mobile Apps, Consumer Internet, Tech",Harry You (Former CFO of Oracle and Acce...,"Goldman Sachs, Needham",Clos. PR Link,SEC Filings,5/10/2021,6/1/2021,8/13/2021,
ASTS,AST SpaceMobile,NPA New Providence Acquisition Corp,AST & Science,4/6/2021,-2.20%,-0.90%,$9.78 ,44.90%,"$505,918,461 ",,,9/11/2019,$230.00 ,Consumer Goods,"Gary Smith (Fmr CEO, Big Red; Fmr COO Re...","BTIG, I-Bankers",Clos. PR Link,SEC Filings,5/6/2021,5/14/2021,5/6/2021,
INVZ,"Innoviz Technologies, Inc.",CGRO Collective Growth Corp,,4/5/2021,-63.50%,-34.20%,$3.65 ,2.20%,"$487,404,995 ",Warrants Trading,$1.03 ,5/1/2020,$150.00 ,Cannabis,Peter Cuneo (Former CEO Marvel Comics; F...,Cantor,Clos. PR Link,SEC Filings,7/27/2021,8/6/2021,5/5/2021,
FOA,Finance of America Companies Inc.,RPLA Replay Acquisition Corp,,4/1/2021,-68.70%,-23.40%,$3.13 ,5.70%,"$184,472,009 ",Warrants Trading,$0.43 ,4/3/2019,$287.50 ,"Argentina, Brazil",,"Credit Suisse, BofA Securities",Clos. PR Link,SEC Filings,5/24/2021,6/4/2021,5/1/2021,
PSFE,Paysafe Limited,BFT Foley Trasimene Acquisition Corp. II,,3/30/2021,-69.20%,-44.50%,$3.08 ,9.20%,"$451,846,303 ",Warrants Trading,$0.51 ,8/18/2020,"$1,467.00 ",,Bill Foley (Chairman of Fidelity Nationa...,"Credit Suisse, BofA Securities",Clos. PR Link,SEC Filings,5/19/2021,5/28/2021,8/18/2021,
ARVL,Arrival,CIIC CIIG Merger Corp,,3/25/2021,-64.10%,-28.60%,$3.59 ,11.50%,"$2,267,857,999 ",,,12/13/2019,$258.80 ,"TMT (Tech, Media, Telecom)",Peter Cuneo (Former CEO Marvel Comics; F...,"UBS, Barclays",Clos. PR Link,SEC Filings,3/31/2021,6/17/2021,,7/19/2021
NVVE,Nuvve Holding Corp,NBAC Newborn Acquisition Corp,,3/22/2021,-26.00%,-12.60%,$7.40 ,3.40%,"$139,129,228 ",Warrants Trading,$0.83 ,2/14/2020,$58.00 ,Asia (Non-China),,Chardan,Clos. PR Link,SEC Filings,3/25/2021,4/5/2021,4/22/2021,
LBPS,4D pharma plc,LOAC Longevity Acquisition Corp.,,3/22/2021,-70.10%,-19.80%,$2.99 ,-1.00%,"$67,387,487 ",Warrants Trading,$0.35 ,8/28/2018,$40.00 ,China,,Cantor,Clos. PR Link,SEC Filings,4/23/2021,5/24/2021,4/22/2021,
PCT,"PureCycle Technologies, Inc.",ROCH Roth CH Acquisition I Co,,3/17/2021,-15.30%,-8.30%,$8.47 ,9.10%,"$994,011,461 ",Warrants Trading,$3.11 ,5/5/2020,$76.50 ,"Business Services, Consumer, Healthcare,...","Byron Roth (CEO, Roth)","Roth Capital Partners, Craig-Hallum Capi...",Clos. PR Link,SEC Filings,3/19/2021,3/19/2021,5/5/2021,
AEVA,"Aeva, Inc.",IPV Interprivate Acquisition Corp,,3/12/2021,-59.60%,-28.50%,$4.04 ,11.90%,"$872,615,905 ",Warrants Trading,$0.74 ,2/4/2020,$241.50 ,,"Ahmed Fattouh (CEO, InterPrivate)","Morgan Stanley, EarlyBirdCapital, Inc.",Clos. PR Link,SEC Filings,6/9/2021,6/24/2021,4/12/2021,
OUST,"Ouster, Inc.",CLA Colonnade Acquisition Corp.,,3/11/2021,-67.10%,-43.30%,$3.29 ,6.80%,"$568,497,307 ",Warrants Trading,$0.65 ,8/20/2020,$200.00 ,"Natural Resources, Energy, Real Estate, ...",,BTIG,Clos. PR Link,SEC Filings,4/2/2021,8/20/2021,8/20/2021,
VIEW,"View, Inc.",CFII CF Finance Acquisition Corp II,,3/8/2021,-84.00%,-54.80%,$1.60 ,2.60%,"$347,322,739 ",Warrants Trading,$0.20 ,8/27/2020,$500.00 ,"Financial Services, Health-care, Real Es...","Howard Lutnick (CEO, Cantor)",Cantor,Clos. PR Link,SEC Filings,4/7/2021,,8/27/2021,
CHPT,"ChargePoint Holdings, Inc.",SBE Switchback Energy Acquisition Corp,,2/26/2021,74.70%,28.50%,$17.47 ,5.40%,"$5,783,043,507 ",,,7/25/2019,$300.00 ,Energy,"Ray Kubis (Chairman, Gridtential)","Goldman Sachs, Citigroup",Clos. PR Link,SEC Filings,3/2/2021,3/11/2021,,7/6/2021
BFLY,"Butterfly Network, Inc.",LGVW Longview Acquisition Corp.,,2/16/2021,-55.70%,-30.90%,$4.43 ,8.00%,"$742,140,672 ",Warrants Trading,$0.83 ,5/21/2020,$414.00 ,Healthcare,"Larry Robbins (Founder/CEO, Glenview)","UBS, Cowen",Clos. PR Link,SEC Filings,3/29/2021,5/12/2021,5/21/2021,
NUVB,Nuvation Bio Inc.,PANA Panacea Acquisition,,2/10/2021,-48.80%,-28.90%,$5.12 ,4.50%,"$1,116,462,720 ",Warrants Trading,$0.70 ,7/1/2020,$143.80 ,"Biotech, Healthcare",,Cowen,Clos. PR Link,SEC Filings,3/11/2021,3/31/2021,7/1/2021,
PLBY,"PLBY Group, Inc.",MCAC Mountain Crest Acquisition Corp,Playboy Enterprises Inc.,2/10/2021,54.60%,31.00%,$15.46 ,2.00%,"$658,759,706 ",,,6/5/2020,$58.60 ,,,Chardan,Clos. PR Link,SEC Filings,11/10/2020,2/10/2021,6/5/2021,
MILE,"Metromile, Inc.",INAQ INSU Acquisition Corp. II,,2/9/2021,-88.80%,-58.60%,$1.12 ,8.70%,"$143,608,511 ",Warrants Trading,$0.09 ,9/2/2020,$230.00 ,"Insurance, InsureTech",Cohen & Company,Cantor,Clos. PR Link,SEC Filings,2/12/2021,4/2/2021,9/2/2021,
GMTX,"Gemini Therapeutics, Inc.",FSDC FS Development Corp.,,2/5/2021,-84.50%,-53.70%,$1.55 ,6.20%,"$66,824,750 ",,,8/12/2020,$105.00 ,"BioTech, Healthcare","Dr. Jim Tananbaum (Founder, Foresite Cap...",Jefferies,Clos. PR Link,SEC Filings,2/17/2021,4/28/2021,8/12/2021,
ETWO,"E2open Parent Holdings, Inc.",PCPL CC Neuberger Principal Holdings I,,2/5/2021,-9.10%,-4.90%,$9.09 ,4.10%,"$2,739,362,100 ",Warrants Trading,$1.98 ,4/24/2020,$414.00 ,"Finance, Tech","Chinh Chu (Founder/Managing Partner, CC ...","Goldman Sachs, BofA Securities, UBS",Clos. PR Link,SEC Filings,3/8/2021,3/29/2021,4/24/2021,
ADN,"Advent Technologies Holdings, Inc.",AMCI AMCI Acquisition Corp,,2/4/2021,-70.00%,-21.10%,$3.00 ,3.60%,"$154,017,041 ",Warrants Trading,$0.51 ,11/15/2018,$220.50 ,"Natural Resources, Mining",,"Jefferies, UBS",Clos. PR Link,SEC Filings,2/16/2021,3/30/2021,3/4/2021,
APPH,"AppHarvest, Inc.",NOVS Novus Capital Corp,,2/1/2021,-53.50%,-29.50%,$4.65 ,-4.10%,"$468,471,820 ",Warrants Trading,$0.69 ,5/15/2020,$100.00 ,"Smart Tech, 5G communication, VR, AI, Cl...",Robert Laikin (Founder of L7 Investments...,"EarlyBirdCapital, I-Bankers",Clos. PR Link,SEC Filings,2/10/2021,3/4/2021,5/15/2021,
UWMC,UWM Holdings Corporation,"GHIV Gores Holdings IV, Inc","United Wholesale Mortgage, LLC",1/21/2021,-55.40%,-26.10%,$4.46 ,3.50%,"$412,682,368 ",Warrants Trading,$0.39 ,1/24/2020,$425.00 ,"Industrials, Tech, Telecom, Media and En...",Alec Gores (Founder of The Gores Group,"Deutsche Bank, Morgan Stanley",Clos. PR Link,SEC Filings,1/26/2021,2/5/2021,2/21/2021,
LOTZ,"CarLotz, Inc.",ACAM Acamar Partners Acquisition Corp,,1/21/2021,-82.30%,-27.00%,$1.77 ,4.70%,"$201,749,705 ",Warrants Trading,$0.36 ,2/21/2019,$300.00 ,Consumer and Retail,"Charles Bernicker (CEO, South Mountain M...","Goldman Sachs, Deutsche Bank",Clos. PR Link,SEC Filings,2/11/2021,3/23/2021,2/21/2021,
HIMS,"Hims & Hers Health, Inc.",OAC Oaktree Acquisition Corp,,1/20/2021,-52.80%,-20.00%,$4.72 ,10.00%,"$928,402,014 ",,,7/17/2019,$201.30 ,"Industrial, Consumer",,"Credit Suisse, Deutsche Bank",Clos. PR Link,SEC Filings,2/5/2021,2/12/2021,,8/9/2021
BTRS,BTRS Holdings Inc.,SMMC South Mountain Merger Corp,Billtrust,1/12/2021,-35.20%,-12.90%,$6.48 ,5.70%,"$994,065,651 ",,,6/19/2019,$250.00 ,Fintech,"Charles Bernicker (CEO, South Mountain M...",Citigroup,Clos. PR Link,SEC Filings,2/3/2021,2/9/2021,2/12/2021,
CLOV,"Clover Health Investments, Corp.",IPOC Social Capital Hedosophia Holdings Corp. III,,1/7/2021,-68.60%,-36.50%,$3.14 ,5.00%,"$1,383,681,443 ",,,4/22/2020,$828.00 ,"Tech, Non-US","Chamath Palihapitiya (Managing Partner, ...",Credit Suisse,Clos. PR Link,SEC Filings,1/13/2021,1/27/2021,4/22/2021,9/9/2021
LSEA,Landsea Homes Corporation,LFAC LF Capital Acquisition Corp,,1/7/2021,-36.80%,-9.90%,$6.32 ,0.60%,"$292,496,495 ",Warrants Trading,$0.19 ,6/20/2018,$155.30 ,"Fintech, Commercial Banking",,"B. Riley FBR, Raymond James",Clos. PR Link,SEC Filings,1/29/2021,2/11/2021,2/7/2021,
BMTX,"BM Technologies, Inc.",MFAC Megalith Financial Acquisition Corp,"BankMobile Technologies, Inc.",1/5/2021,-6.30%,-1.80%,$9.37 ,-0.10%,"$114,373,762 ",Warrants Trading,$1.43 ,8/23/2018,$150.00 ,"Fintech, Financial Services",Chad Hurley (Founder and Former CEO of Y...,"Chardan, BTIG",Clos. PR Link,SEC Filings,2/12/2021,7/30/2021,2/5/2021,
CLNN,"Clene Nanomedicine, Inc.",TOTA Tottenham Acquisition I,,12/30/2020,-69.30%,-19.20%,$3.07 ,10.40%,"$190,964,843 ",Warrants Trading,$0.33 ,8/1/2018,$46.00 ,"Asia Ops (Focus on China), TMT (Technolo...",,"Chardan, I-Bankers",Clos. PR Link,SEC Filings,,,1/30/2021,
RMO,"Romeo Power, Inc.",RMG RMG Acquisition Corp,"Romeo Systems, Inc.",12/29/2020,-85.10%,-27.60%,$1.49 ,-0.70%,"$200,364,208 ",,,2/7/2019,$200.00 ,"Diversified Resources, Industrial Materi...",,"Deutsche Bank, Stifel",Clos. PR Link,SEC Filings,,,,4/5/2021
DNMR,"Danimer Scientific, Inc.",LOAK Live Oak Acquisition Corp.,,12/29/2020,-59.40%,-32.30%,$4.06 ,2.30%,"$348,072,764 ",,,5/6/2020,$253.00 ,"Financial Services, Industrials, Busines...",,"Jefferies, BMO",Clos. PR Link,SEC Filings,,,,6/16/2021
GNOG,"Golden Nugget Online Gaming, Inc.","LCA Landcadia Holdings II, Inc",,12/29/2020,-34.90%,-12.30%,$6.51 ,2.50%,"$303,173,278 ",,,5/7/2019,$316.30 ,"Consumer, Dining, Hospitality, Entertain...","Tilman Fertitta (Houston Rockets owner, ...",Jefferies,Clos. PR Link,SEC Filings,,,,3/8/2021
RSI,"Rush Street Interactive, Inc.",DMYT dMY Technology Group Inc,,12/29/2020,-18.50%,-9.00%,$8.15 ,2.40%,"$1,659,053,902 ",,,2/21/2020,$230.00 ,"Mobile Apps, Consumer Internet, Tech",Harry You (Former CFO of Oracle and Acce...,"Goldman Sachs, UBS",Clos. PR Link,SEC Filings,,,,3/24/2021
PRCH,"Porch Group, Inc.",PTAC PropTech Acquisition Corp,"Porch.com, Inc.",12/23/2020,-29.80%,-13.00%,$7.02 ,1.20%,"$688,410,038 ",,,11/21/2019,$172.50 ,PropTech,,Cantor,Clos. PR Link,SEC Filings,,,,4/16/2021
VINC,"Vincera Pharma, Inc.",LSAC LifeSci Acquisition Corp,,12/23/2020,-52.00%,-25.90%,$4.80 ,5.30%,"$101,076,288 ",,,3/6/2020,$65.60 ,Healthcare,,Chardan,Clos. PR Link,SEC Filings,,,,5/5/2021
XL,XL Fleet Corp,PIC Pivotal Investment Corporation II,,12/22/2020,-76.60%,-28.80%,$2.34 ,2.20%,"$330,898,249 ",,,7/11/2019,$230.00 ,"Tech, LogTech, Last Mile Delivery, Cyber...","Jon Ledecky (co-owner, New York Islander...","Cantor, BTIG",Clos. PR Link,SEC Filings,,,,3/1/2021
ASLE,AerSale Corporation,MNCL Monocle Acquisition Corp,,12/22/2020,56.10%,18.20%,$15.61 ,0.50%,"$702,211,448 ",,,2/6/2019,$172.50 ,"Aerospace, Defense, Industrial",,"Cowen, Chardan",Clos. PR Link,SEC Filings,,,,12/29/2021
ARKO,ARKO Corp,HYAC Haymaker Acquisition Corp. II,"ARKO Holdings Ltd., GPM Investments, LLC",12/22/2020,-15.80%,-5.70%,$8.42 ,2.90%,"$1,049,202,172 ",Warrants Trading,$1.61 ,6/7/2019,$400.00 ,Consumer,Steven Heyer (Former CEO of Starwood Hot...,Cantor,Clos. PR Link,SEC Filings,,,1/22/2021,
GOEV,Canoo Holdings,HCAC Hennessy Capital Acquisition Corp IV,,12/21/2020,-41.60%,-13.80%,$5.84 ,15.90%,"$1,393,600,876 ",Warrants Trading,$1.20 ,3/1/2019,$300.20 ,Industrials,Daniel Hennessy,"Nomura, Stifel",Clos. PR Link,SEC Filings,,,1/21/2021,
