DeSPAC Ticker,DeSPAC Company,SPAC Ticker/Name,Pre-Merger Name,Compl. Date,Comm. Rtrn %,Ann. Return %,Comm. Price,Comm. % Chg,Mkt. Cap,Warr. Status,Warr. Price,IPO Date,IPO Size (M),Target Focus,Prom. Leaders,Underwriters,Clos. PR Link,SEC Filings,Post-Close S-1 File Date,S-1 Effective Date,Warr. Ex. Date,Warr. Ex D.L.
CTV,Innovid,IACB ION Acquisition Corp 2 Ltd.,,11/30/2021,-33.20%,-30.90%,$6.68 ,1.20%,"$794,530,008 ",Warrants Trading,$0.92 ,2/10/2021,$253.00 ,"Israel, Tech","Jonathan Kolber (Fmr CEO, Koor Industrie...","Goldman Sachs, Morgan Stanley",Clos. PR Link,SEC Filings,12/21/2021,1/3/2022,2/10/2022,
CDRO,"Codere Online Luxembourg, S.A.",DDMX DD3 Acquisition Corp. II,,11/30/2021,-48.90%,-39.20%,$5.11 ,7.20%,"$230,413,950 ",,,12/8/2020,$125.00 ,"Mexico, Hispanic companies in US","Dr. Martin Werner (Chairman, DD3 Acq I; ...",EarlyBirdCapital,Clos. PR Link,SEC Filings,2/24/2022,,12/30/2021,
GNRS,The Greenrose Holding Company Inc.,GNRS Greenrose Acquisition Corp,"Theraplant, LLC",11/29/2021,-58.00%,-28.00%,$4.20 ,,"$65,729,223 ",Warrants Trading,$0.30 ,2/11/2020,$172.50 ,Cannabis,,"Imperial Capital, I-Bankers",Clos. PR Link,SEC Filings,1/4/2022,2/10/2022,12/29/2021,
LOCL,Local Bounti Corporation,LIII Leo Holdings III Corp,,11/19/2021,-38.00%,-36.90%,$6.20 ,3.70%,"$535,338,262 ",Warrants Trading,$1.00 ,2/26/2021,$275.00 ,Consumer,"Lyndon Lea (Founder/MP, Lion Capital), E...",Deutsche Bank Securities,Clos. PR Link,SEC Filings,12/10/2021,12/27/2021,2/26/2022,
WEJO,Wejo,VOSO Virtuoso Acquisition Corp.,,11/18/2021,-61.80%,-54.80%,$3.82 ,2.10%,"$358,889,783 ",Warrants Trading,$0.47 ,1/21/2021,$230.00 ,"Media: Digital Marketing, Digital Platfo...","Jeff Warshaw (Founder, Connoisseur Commu...","BTIG, Moelis & Company",Clos. PR Link,SEC Filings,12/17/2021,1/12/2022,1/21/2022,
TOI,The Oncology Institute,DFPH DFP Healthcare Acquisitions Corp,,11/15/2021,-44.40%,-22.30%,$5.56 ,6.70%,"$127,880,000 ",Warrants Trading,$0.97 ,3/11/2020,$230.00 ,Healthcare,Deerfield,"Deutsche Bank, Jefferies",Clos. PR Link,SEC Filings,12/17/2021,2/14/2022,12/15/2021,
EMBK,"Embark Technology, Inc.",EMBK Northern Genesis Acquisition Corp. II,,11/10/2021,-55.80%,-48.40%,$4.42 ,10.00%,"$1,602,119,128 ",Warrants Trading,$0.70 ,1/12/2021,$414.00 ,"Sustainability, Societal Infrastructure","Michael Hoffman (Founder, Stone Capital ...","JP Morgan, Barclays, CIBC Capital Market...",Clos. PR Link,SEC Filings,11/24/2021,12/14/2021,1/12/2022,
DCGO,"DocGo, Inc.",MOTN Motion Acquisition Corp,"Ambulnz, Inc.",11/5/2021,-32.80%,-23.50%,$6.72 ,1.20%,"$672,466,623 ",Warrants Trading,$1.97 ,10/15/2020,$115.00 ,Telematics (including transportation sof...,"James Travers (Fmr Chairman, Fleetmatics...",Barclays,Clos. PR Link,SEC Filings,11/24/2021,1/4/2022,12/5/2021,
KIND,"Nextdoor Holdings, Inc.",KVSB Khosla Ventures Acquisition Co. II,,11/5/2021,-42.40%,,$5.76 ,6.10%,"$454,773,099 ",,,3/24/2021,$416.30 ,Tech (highly differentiated proprietary ...,"Vinod Khosla (Founder, Khosla Ventures)","Citigroup, Goldman Sachs & Co. LLC",Clos. PR Link,SEC Filings,11/22/2021,12/2/2021,,
BRDS,Bird Global,SWBK Switchback II Corporation,,11/4/2021,-61.70%,-52.90%,$3.83 ,3.50%,"$918,492,453 ",Warrants Trading,$0.55 ,1/7/2021,$316.30 ,"Energy Transition, Sustainability","Scott McNeil (CEO, Switchback I), Ray Ku...",Goldman Sachs,Clos. PR Link,SEC Filings,11/17/2021,11/29/2021,1/7/2022,
